campaign_id,campaign_name,start_date,end_date,offer_type,campaign_cost
CMP01,New Year Sale,2025-11-06,2025-11-25,Seasonal Offer,2099.35
CMP02,Summer Splash,2025-09-11,2025-10-02,Cashback,13217.32
CMP03,Mid-Year Clearance,2024-05-04,2024-05-20,Bundle,20358.93
CMP04,Back to School,2024-03-20,2024-03-27,Seasonal Offer,3106.6
CMP05,Festive Bonanza,2024-06-14,2024-07-11,Cashback,35792.93
CMP06,Flash Weekend,2024-07-27,2024-08-25,Cashback,11885.36
CMP07,Loyalty Rewards,2024-11-09,2024-11-17,Seasonal Offer,6300.02
CMP08,End of Season,2024-03-28,2024-04-26,Seasonal Offer,21149.52
CMP09,Anniversary Sale,2025-05-15,2025-06-12,Discount,2691.45
CMP10,Black Friday Deal,2025-07-16,2025-08-04,Seasonal Offer,34021.25
CMP11,Cyber Week Special,2024-10-16,2024-10-30,Cashback,18412.06
CMP12,Spring Refresh,2025-07-13,2025-07-25,Discount,8193.78
CMP13,Monsoon Offer,2024-12-02,2024-12-16,Cashback,25017.7
CMP14,Diwali Delight,2025-01-04,2025-01-29,Seasonal Offer,12588.64
CMP15,Christmas Cheer,2024-11-10,2024-11-27,Seasonal Offer,28257.89
CMP16,Valentine Special,2024-10-19,2024-11-11,Cashback,35287.19
CMP17,Independence Day Sale,2025-01-04,2025-01-14,Discount,17264.3
CMP18,Harvest Fest,2024-08-05,2024-08-30,Cashback,32708.16
CMP19,Clearance Blowout,2024-04-03,2024-04-27,Bundle,6769.14
CMP20,Winter Warmth,2025-08-31,2025-09-08,Cashback,31587.39
