customer_id,customer_type,segment,acquisition_channel,customer_since,location_category,age_band,business_size
C00001,Individual,Standard,Online,2025-03-17,Urban,46-55,
C00002,SME,Standard,Referral,2025-08-13,Urban,,Enterprise (200+)
C00003,Individual,Premium,Referral,2025-04-14,Suburban,26-35,
C00004,Corporate,New,Online,2023-04-13,Suburban,,Small (1-10)
C00005,Individual,Premium,Online,2022-05-11,Urban,26-35,
C00006,Individual,Standard,Referral,2023-01-28,Urban,18-25,
C00007,Individual,Budget,Walk-in,2025-03-25,Suburban,46-55,
C00008,Individual,Premium,Online,2024-07-07,Suburban,46-55,
C00009,Individual,New,Online,2025-09-15,Urban,18-25,
C00010,SME,Budget,Online,2023-04-25,Urban,,Medium (11-50)
C00011,Individual,Premium,Referral,2024-02-12,Urban,46-55,
C00012,SME,Budget,Referral,2025-01-11,Urban,,Large (51-200)
C00013,Individual,Budget,Online,2022-11-24,Urban,46-55,
C00014,SME,Budget,Referral,2025-09-11,Urban,,Large (51-200)
C00015,Corporate,Budget,Online,2024-04-09,Urban,,Small (1-10)
C00016,SME,Budget,Sales Team,2022-01-12,Urban,,Small (1-10)
C00017,Individual,Standard,Walk-in,2022-02-05,Urban,36-45,
C00018,SME,Standard,Online,2025-05-20,Other,,Medium (11-50)
C00019,Individual,Budget,Online,2024-06-22,Suburban,65+,
C00020,Individual,New,Online,2024-12-04,Urban,46-55,
C00021,Individual,Standard,Walk-in,2025-01-02,Urban,26-35,
C00022,Individual,Budget,Online,2023-08-12,Urban,36-45,
C00023,SME,Standard,Online,2025-01-23,Suburban,,Medium (11-50)
C00024,Individual,Budget,Online,2025-08-05,Suburban,26-35,
C00025,SME,New,Referral,2022-08-30,Urban,,Large (51-200)
C00026,Individual,Standard,Online,2024-12-05,Other,56-65,
C00027,SME,Standard,Sales Team,2023-03-07,Suburban,,Small (1-10)
C00028,Individual,Standard,Sales Team,2023-03-27,Suburban,36-45,
C00029,Individual,Standard,Referral,2023-08-01,Urban,65+,
C00030,SME,Standard,Online,2025-04-24,Urban,,Enterprise (200+)
C00031,Corporate,Premium,Online,2022-01-31,Suburban,,Small (1-10)
C00032,Individual,Standard,Online,2023-08-31,Urban,46-55,
C00033,Individual,Standard,Online,2024-08-10,Suburban,26-35,
